index,real,pred,error
1895,66.56,69.96,3.399999084472654
1896,66.44,70.09,3.6499963378906273
1897,74.56,70.05,4.50999694824219
1898,73.74,70.16,3.57999633789062
1900,74.42,70.51,3.909997863769533
1903,73.63,70.02,3.610003356933589
1910,78.76,70.11,8.649999389648443
1913,66.68,69.86,3.1800006103515557
1918,68.02,71.05,3.0300030517578165
1923,66.75,70.01,3.2600021362304688
1925,65.99,70.02,4.029996643066411
1929,66.02,69.79,3.7700009155273477
1932,65.92,69.13,3.209997253417967
1938,65.36,69.57,4.209999694824219
1940,83.35,69.28,14.07000122070312
1941,65.78,68.86,3.0800006103515614
1942,83.35,68.71,14.640000915527338
1944,65.38,68.87,3.490002746582036
1945,83.36,69.05,14.309996948242187
1946,83.35,69.36,13.989999389648432
1947,65.7,69.4,3.7000015258789034
1950,83.35,68.72,14.62999877929687
1951,83.35,68.66,14.68999633789062
1952,65.48,68.81,3.329997558593746
1954,83.35,68.86,14.489999389648432
1956,83.35,69.09,14.26000366210937
1961,83.35,68.44,14.909997558593744
1962,83.35,68.74,14.610002136230463
1964,83.36,69.17,14.190001831054687
1965,83.35,68.91,14.43999633789062
1969,72.45,69.03,3.420001220703128
1971,73.24,69.41,3.82999633789062
1972,72.59,69.03,3.5600012207031284
1980,66.38,69.4,3.020001525878911
1990,66.13,69.65,3.520001525878911
1992,66.12,69.5,3.3799999999999955
1993,65.51,69.67,4.159998168945307
1996,66.68,69.83,3.1500018310546807
2001,67.19,70.35,3.159998474121096
2005,66.63,69.66,3.0300036621093795
2007,65.93,69.76,3.830002136230462
2011,65.17,69.15,3.9800015258789045
2021,66.2,69.31,3.109997558593747
2022,64.61,69.29,4.680000915527344
2023,72.17,69.06,3.1100024414062517
2027,74.52,69.28,5.240001220703121
2031,65.05,69.54,4.490000915527347
2034,65.92,68.95,3.029996948242186
2049,76.4,68.9,7.499998474121099
2050,72.03,68.75,3.280000000000001
